FamilyEx,Genus,Species,AccessionList
Saxifragaceae,Saxifraga,bronchialis,1975-0379; 1975-0557; 1975-0658; 1977-0219; 1978-0349; 2016-0214; 2016-0272
Saxifragaceae,Saxifraga,rivularis,1975-0429
Saxifragaceae,Saxifraga,tolmiei,1975-0664
Scrophulariaceae,Buddleja,davidii,1975-0699
Scrophulariaceae,Verbascum,thapsus,1975-0861; 1996-0164; 1998-0505; 2001-0174; 2004-0122; 2004-0272; 2005-0246; 2007-0438; 2022-0643
Solanaceae,Datura,stramonium,1976-0422; 1978-0212
Solanaceae,Solanum,americanum,1986-0307
Solanaceae,Solanum,dulcamara,1975-0345; 1998-0433
Solanaceae,Solanum,rostratum,1989-0494
Thelypteridaceae,Thelypteris,nevadensis,1983-0736
Thymelaeaceae,Daphne,laureola,1974-0321; 1974-0353; 1975-0962; 1982-0047
Urticaceae,Urtica,dioica,1975-0599
Viburnaceae,Sambucus,mexicana,1973-0484; 1975-0794; 1979-0816; 1982-0342; 1992-0794; 1995-0918; 2007-0076; 2016-0309; 2023-0409
Violaceae,Viola,arvensis,1975-0910
Violaceae,Viola,canadensis,1974-0493; 1975-0183
Violaceae,Viola,lanceolata,1997-0170
Violaceae,Viola,odorata,1988-0074; 1989-0332; 1998-0943
Violaceae,Viola,tricolor,1978-0090; 2006-0270; 2017-0084; 2018-0454; 2019-0560
Woodsiaceae,Woodsia,oregana,1970-0127; 1976-0307; 1992-0525
Woodsiaceae,Woodsia,scopulina,1971-0040; 1973-0280; 1974-0494; 1975-0677; 1977-0220; 2009-0307
Zygophyllaceae,Tribulus,terrestris,1989-0275
