species,decimalLatitude,decimalLongitude,year,basisOfRecord,coordinateUncertaintyInMeters,datasetName
Pseudotsuga menziesii,48.468881,-123.402436,2026,HUMAN_OBSERVATION,136.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.460187,-123.561238,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.459513,-123.307608,2026,HUMAN_OBSERVATION,14.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.556286,-123.418772,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.495428,-123.483344,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.475963,-123.300907,2026,HUMAN_OBSERVATION,136.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.488492,-123.491997,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.491517,-123.493231,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.489939,-123.493419,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.537019,-123.499935,2026,HUMAN_OBSERVATION,14.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.428598,-123.32854,2026,HUMAN_OBSERVATION,25.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.422466,-123.55406,2026,HUMAN_OBSERVATION,213.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.492528,-123.345178,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.448904,-123.536186,2026,HUMAN_OBSERVATION,6.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.34663,-123.564033,2026,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.045758,-122.883413,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.488381,-123.492125,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,49.05837,-122.878105,2026,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.026809,-122.245766,2026,HUMAN_OBSERVATION,14.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.456145,-123.321791,2026,HUMAN_OBSERVATION,52.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.460275,-123.311163,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.477176,-123.547403,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.351537,-119.055725,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.344137,-123.017669,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.206477,-123.974724,2026,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.412553,-123.322629,2026,HUMAN_OBSERVATION,10.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.511567,-123.393789,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.466358,-123.36972,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.338064,-123.589709,2026,HUMAN_OBSERVATION,26711.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.552688,-123.502838,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.554333,-123.504412,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.033072,-122.492779,2026,HUMAN_OBSERVATION,22.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.477787,-123.314133,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.969211,-125.257214,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.452751,-123.701426,2026,HUMAN_OBSERVATION,23.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.031506,-122.685273,2026,HUMAN_OBSERVATION,44.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.345967,-117.874497,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,49.067615,-122.492479,2026,HUMAN_OBSERVATION,52.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.548955,-123.477472,2026,HUMAN_OBSERVATION,8.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.410518,-123.321174,2026,HUMAN_OBSERVATION,83.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.537417,-115.768005,2026,HUMAN_OBSERVATION,123.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.030783,-122.004233,2026,HUMAN_OBSERVATION,18.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.53113,-116.027978,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.165092,-123.966488,2026,HUMAN_OBSERVATION,84.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.502175,-117.310638,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.489375,-123.345283,2026,HUMAN_OBSERVATION,12.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.050094,-119.252197,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.093731,-117.841897,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.557803,-116.070519,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.472832,-123.296937,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.457367,-123.323395,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.194634,-119.401731,2026,HUMAN_OBSERVATION,10.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.16412,-123.965438,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.548138,-123.505058,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.55975,-123.465788,2026,HUMAN_OBSERVATION,2.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.071622,-122.493166,2026,HUMAN_OBSERVATION,34.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.318458,-119.521378,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.19598,-116.541811,2026,HUMAN_OBSERVATION,20.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.810727,-119.642987,2026,HUMAN_OBSERVATION,53.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.333855,-123.256355,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.028489,-122.816964,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.46279,-123.318297,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.811059,-119.644821,2026,HUMAN_OBSERVATION,37.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.32398,-122.46668,2026,HUMAN_OBSERVATION,14.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.387495,-123.518253,2026,HUMAN_OBSERVATION,10.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.755143,-123.955186,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.470728,-123.456756,2026,HUMAN_OBSERVATION,99.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.0446,-118.87725,2026,HUMAN_OBSERVATION,6.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.462813,-123.319722,2026,HUMAN_OBSERVATION,48.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.460209,-123.371876,2026,HUMAN_OBSERVATION,55.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.212611,-122.926406,2026,HUMAN_OBSERVATION,7.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.181733,-116.549972,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.456683,-123.322533,2026,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.334003,-123.258606,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.211382,-122.902498,2026,HUMAN_OBSERVATION,15.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.352419,-123.685242,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.436288,-123.683004,2026,HUMAN_OBSERVATION,16.0,iNaturalist research-grade observations
Pseudotsuga menziesii,54.474847,-122.703972,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.458826,-123.364909,2026,HUMAN_OBSERVATION,21.0,iNaturalist research-grade observations
Pseudotsuga menziesii,50.320346,-115.858589,2026,HUMAN_OBSERVATION,,iNaturalist research-grade observations
Pseudotsuga menziesii,48.490118,-123.341803,2026,HUMAN_OBSERVATION,83.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.312887,-122.924745,2026,HUMAN_OBSERVATION,20.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.197914,-122.59906,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.978635,-125.245216,2026,HUMAN_OBSERVATION,16.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.439626,-123.70738,2026,HUMAN_OBSERVATION,13.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.50026,-123.414621,2026,HUMAN_OBSERVATION,8.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.456692,-123.322525,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.44053,-123.683343,2026,HUMAN_OBSERVATION,463.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.190392,-122.602089,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.470842,-124.31095,2026,HUMAN_OBSERVATION,35.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.572813,-123.366679,2026,HUMAN_OBSERVATION,644.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.549803,-123.490073,2026,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.012161,-119.35373,2026,HUMAN_OBSERVATION,11.0,iNaturalist research-grade observations
Pseudotsuga menziesii,48.439568,-123.715783,2026,HUMAN_OBSERVATION,100.0,iNaturalist research-grade observations
Pseudotsuga menziesii,49.197372,-122.60038,2026,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations
